CreatedDate,Longitude,Latitude
2016-01-11,-73.94327357,40.83627247
2016-01-11,-74.00419845,40.70860662
2016-01-11,-73.89193047,40.82592664
2016-01-11,-73.92312279,40.66739298
2016-01-11,-73.98027785,40.74355948
2016-01-11,-73.97194294,40.782999700000005
2016-01-11,-73.87739769,40.75345662
2016-01-11,-73.99360432,40.71498534
2016-01-11,-73.90640699,40.82983679
2016-01-11,-73.88464420000001,40.858285200000005
2016-01-11,-73.82230431,40.76707561
2016-01-11,-73.94128612,40.69275716
2016-01-11,-73.99369424,40.67964372
2016-01-11,-73.91985477,40.75619481
2016-01-11,-73.92921259,40.66599705
2016-01-11,-73.84807897,40.85314593
2016-01-11,-73.92513323,40.70038099
2016-01-11,-73.95271754,40.67721329
2016-01-11,-73.91684661,40.85277135
2016-01-11,-73.98076753,40.77243153
2016-01-11,-73.89962102,40.86326162
2016-01-11,-74.00061712,40.74531232
2016-01-11,-73.99895528,40.62631278
2016-01-11,-73.80971365,40.69711351
2016-01-11,-73.94226231,40.80641492
2016-01-11,-73.91940607,40.68552517
2016-01-11,-73.99414893,40.75713929
2016-01-11,-73.91859674,40.81388825
2016-01-11,-73.9674125,40.58113705
2016-01-11,-73.98032836,40.7436089
2016-01-12,-73.95218977,40.7797599
2016-01-11,-73.88858096,40.8237661
2016-01-11,-73.92895353,40.83137895
2016-01-11,-73.90841469,40.807227399999995
2016-01-11,-74.12362102,40.61778412
2016-01-11,-73.92618692,40.68354799
2016-01-11,-73.90764704,40.81897969
2016-01-11,-73.92893782,40.70398728
2016-01-11,-73.90998753,40.65920401
2016-01-11,-73.91280468,40.82845847
2016-01-11,-73.79704097,40.59171931
2016-01-11,-73.85608002,40.68702517
2016-01-11,-73.94908871,40.63729714
2016-01-12,-73.87303766,40.71933732
2016-01-12,-73.94462851,40.80182965
2016-01-12,-73.95189705,40.67014241
2016-01-12,-73.88298573,40.66877546
2016-01-12,-74.00199584,40.74925102
2016-01-12,-73.94742496,40.69108582
2016-01-12,-73.94755475,40.80113660000001
2016-01-12,-73.95974863,40.68765434
2016-01-12,-73.86623783,40.86836857
2016-01-12,-73.95399657,40.80384016
2016-01-12,-73.96087929,40.71489104
2016-01-12,-73.98785772,40.71628315
2016-01-12,-73.93184817,40.69362754
2016-01-12,-73.87967832,40.84564076
